id,No,Type,Name,Meaning,Reverse,TLuck,RLuck,TOrder,ROrder,TGood,RGood,Wild
0,0,Major,The Fool,"New beginnings, optimism, spontaneity, faith in the future","Recklessness, taken risks without considering consequences, chaos",,,,,,,
1,1,Major,The Magician,"Manifestation, resourcefulness, power, inspired action","Manipulation, poor planning, untapped talents",,,,,,,
2,2,Major,The High Priestess,"Intuition, sacred knowledge, divine feminine, the subconscious mind","Secrets, disconnected from intuition, withdrawal and silence",,,,,,,
3,3,Major,The Empress,"Femininity, beauty, nature, nurturing, abundance","Creative block, dependence on others",,,,,,,
4,4,Major,The Emperor,"Authority, establishment, structure, a father figure","Domination, excessive control, rigidity, inflexibility",,,,,,,
5,5,Major,The Hierophant,"Spiritual wisdom, religious beliefs, conformity, tradition, institutions","Hypocrisy, unorthodoxy, rebellion, challenging the status quo",,,,,,,
6,6,Major,The Lovers,"Love, harmony, relationships, values alignment, choices","Self-love, disharmony, imbalance, misalignment of values",,,,,,,
7,7,Major,The Chariot,"Control, willpower, success, action, determination","Lack of control, aggression, obstacles, self-doubt",,,,,,,
8,8,Major,Strength,"Strength, courage, persuasion, influence, compassion","Weakness, self-doubt, lack of conviction, cowardice, cruelty",,,,,,,
9,9,Major,The Hermit,"Soul-searching, introspection, being alone, inner guidance","Isolation, loneliness, withdrawal",,,,,,,
10,10,Major,The Wheel of Fortune,"Change, cycles, inevitable fate, turning point","No control, clinging to control, bad luck, negative cycles",,,,,,,
11,11,Major,Justice,"Justice, fairness, truth, cause and effect, law","Unfairness, lack of accountability, dishonesty",,,,,,,
12,12,Major,The Hanged Man,"Pause, surrender, letting go, new perspectives","Stalling, needless sacrifice, fear of sacrifice",,,,,,,
13,13,Major,Death,"Endings, change, transformation, transition","Resistance to change, inability to move on, stagnation",,,,,,,
14,14,Major,Temperance,"Balance, moderation, being sensible, harmony","Extremes, excess, lack of balance, disharmony",,,,,,,
15,15,Major,The Devil,"Shadow self, attachment, addiction, materialism","Detachment, breaking free, power reclaimed",,,,,,,
16,16,Major,The Tower,"Sudden upheaval, broken pride, disaster, revelation","Disaster avoided, delaying disaster, fear of suffering",,,,,,,
17,17,Major,The Star,"Hope, faith, purpose, renewal, spirituality","Lack of faith, despair, discouragement",,,,,,,
